precision,recall,AUC,BoxConstraint,KernelScale
0.877675841,0.88823934,0.885681231,434.9092127,916.5775201
0.94722671,0.89198783,0.880437502,53.33209566,110.4937447
0.907412157,0.829737336,0.780931209,34.47461323,95.08248748
